"Preprint Server","Preprint DOI","Latest Version","Date of Latest Version","Title","Byline","Publication DOI","Status","Assessors"
"medRxiv","10.1101/2022.10.17.22281178","2","18/10/2022","Fluvoxamine for Outpatient Treatment of COVID-19: A Decentralized, Placebo-controlled, Randomized, Platform Clinical Trial","McCarthy, M. W.; Naggie, S.; Boulware, D. R.; Lindsell, C. J.; Stewart, T. G.; Felker, G. M.; Jayaweera, D.; Sulkowski, M.; Gentile, N.; Bramante, C.; Singh, U.; Dolor, R. J.; Ruiz-Unger, J.; Wilson, S.; DeLong, A.; Remaly, A.; Wilder, R.; Collins, S.; Dunsmore, S. E.; Adam, S. J.; Thicklin, F.; Hanna, G.; Ginde, A. A.; Castro, M.; McTigue, K.; Shenkman, E.; Hernandez, A. F.","-","publishaheadofprint","-"
"SSRN Electronic Journal","10.2139/ssrn.4237902","1","18/10/2022","Molnupiravir Plus Usual Care Versus Usual Care Alone as Early Treatment for Adults with COVID-19 at Increased Risk of Adverse Outcomes (PANORAMIC): Preliminary Analysis from the United Kingdom Randomised, Controlled Open-Label, Platform Adaptive Trial","Butler, Christopher; Hobbs, F.D. Richard; Gbinigie, Oghenekome; Rahman, Najib M.; Hayward, Gail; Richards, Duncan; Dorward, Jienchi; Lowe, David; Standing, Joseph F.; Breuer, Judith; Khoo, Saye; Petrou, Stavros; Hood, Kerenza; Nguyen-Van-Tam, Jonathan S.; Patel, Mahendra; Saville, Benjamin R.; Marion, Joe; Ogburn, Emma; Allen, Julie; Rutter, Heather; Francis, Nick; Thomas, Nicholas; Evans, Philip; Dobson, Melissa; Madden, Tracie-Ann; Holmes, Jane; Harris, Victoria; Png, May Ee; Lown, Mark; van Hecke, Oliver; Detry, Michelle; Saunders, Christina; Fitzgerald, Mark; Berry, Nicholas; Mwandigha, Lazaro; Galal, Ushma; Jani, Bhautesh; Hart, Nigel; Butler, Daniel; Chalk, Jeremy; Lavallee, Layla; Hadley, Elizabeth; Cureton, Lucy; Benysek, Magdalena; Andersson, Monique; Coates, Maria; Barrett, Sarah; Bateman, Clare; Davies, Jennifer; Raymundo-Wood, Ivy; Ustianowski, Andrew; Carson-Stevens, Andrew; Yu, Ly-Mee; Little, Paul","-","initial deposit","-"
"Research Square","10.21203/rs.3.rs-2167465/v1","1","14/10/2022","Chlorpheniramine Intranasal Spray to Accelerate COVID-19 Clinical Recovery in an Outpatient Setting: The ACCROS Trials","Valerio-Pascua, Fernando; Mejia, Estela Jackeline Pineda; Tesch, Mari L.; Godoy, Jancy; Fuentes, Carlos López; Erazo, Gloria B.; Bermúdez, Marco; Pineda, Miguel Fernando Vargas; Rivzi, Syed A.A.; Cabrera, Armando; Chauhan, Zeeshan; Grullón-Franco, Scarlet; Paulino-Then, Jorge L.; Garcia, Natalia; Williams, Jeffrey D.; Rahaghi, Franck F.","-","initial deposit","-"
"medRxiv","10.1101/2022.10.10.22280850","1","13/10/2022","Anti-SARS-CoV-2 antibody containing plasma improves outcome in patients with hematologic or solid cancer and severe COVID-19 via increased neutralizing antibody activity. A randomized clinical trial","Denkinger, C. M.; Janssen, M.; Schaekel, U.; Gall, J.; Leo, A.; Stelmach, P.; Weber, S. F.; Krisam, J.; Baumann, L.; Stermann, J.; Merle, U.; Weigand, M. A.; Nusshag, C.; Bullinger, L.; Schrezenmeier, J.-F.; Bornhaeuser, M.; Alakel, N.; Witzke, O.; Wolf, T.; Vehreschild, M. J.; Schmiedel, S.; Addo, M. M.; Herth, F.; Kreuter, M.; Tepasse, P.-R.; Hertenstein, B.; Haenel, M.; Morgner, A.; Kiehl, M.; Hopfer, O.; Wattad, M.-A.; Schimanski, C. C.; Celik, C.; Pohle, T.; Ruhe, M.; Kern, W. V.; Schmitt, A.; Lorenz, H.-M.; Souto-Carneiro, M.; Gaeddert, M.; Halama, N.; Meuer, S.; Kraeusslich, H.-G.; Muel","-","publishaheadofprint","-"
"SSRN Electronic Journal","10.2139/ssrn.4244749","1","13/10/2022","Early suPAR-Guided Anakinra Treatment in COVID-19 Pneumonia: Subgroup Analyses and 90-Day Outcomes of the SAVE-MORE Trial","Akinosoglou, Karolina; Kotsaki, Antigone; Gounaridi, Ioanna-Maria; Christaki, Eirini; Metallidis, Simeon; Adamis, Georgios; Fragkou, Archontoula; Fantoni, Massimo; Rapti, Aggeliki; Kalomenidis, Ioannis; Chrysos, Georgios; Boni, Gloria; Kainis, Ilias; Alexiou, Zoi; Castelli, Francesco; Serino, Francesco Saverio; Bakakos, Petros; Nicastri, Emanuele; Tzavara, Vassiliki; Safarika, Asimina; Ioannou, Sofia; Dagna, Lorenzo; Dimakou, Katerina; Tzatzagou, Glykeria; Chini, Maria; Bassetti, Matteo; Kotsis, Vasileios; Angheben, Andrea; Tsoukalas, George; Selmi, Carlo; Spiropoulou, Olga-Maria; Samarkos, Michael; Doumas, Michael; Damoraki, Georgia; Masgala, Aikaterini; Papanikolaou, Ilias; Argyraki, Aikaterini; Negri, Marcantonio; Leventogiannis, Konstantinos; Symbardi, Styliani; Gatselis, Nikolaos K.; Petrakis, Vasileios; Netea, Mihai G.; Panagopoulos, Periklis; Sakka, Vissaria; Milionis, Haralampos; Dalekos, George; Giamarellos-Bourboulis, Evangelos","-","initial deposit","-"
"SSRN Electronic Journal","10.2139/ssrn.4243701","1","12/10/2022","Therapeutic Combinations in Mild or Moderate COVID-19 to Reduce Nasopharyngeal Carriage of SARS-CoV-2 and Prevent Severe COVID-19 in Côte D’Ivoire: A Pragmatic Phase IIb Randomized Controlled Clinical Trial. The ANRS COV01 INTENSE-COV Trial","Bonnet, Fabrice; Doumbia, Adama; Machault, Vanessa; Ello, Frederic; Bellecave, Pantxika; Akpovo, Corinne; Sidibe, Baba; Fernandez, Laura; Koume, Antoine; Adjogoua, Edgard; Mireille, Dosso; Niangoran, Serge; Journot, Valerie; Eholié, Serge Paul","-","initial deposit","-"
"SSRN Electronic Journal","10.2139/ssrn.4238635","1","11/10/2022","IP-10 Predicts Clinical Progression and Response to IL-6 Blockade with Sarilumab in Early COVID-19 Pneumonia. The SARICOR Clinical Trial","Trigo-Rodriguez, Marta; Cárcel, Sheila; Navas, Ana; Espíndola-Gómez, Reinaldo; Garrido-Gracia, José Carlos; Moreno, María Ángeles Esteban; León-López, Rafael; Pérez-Crespo, Pedro María Martínez; Aguilar Alonso, Eduardo; Vinuesa, David; Romero-Palacios, Alberto; Pérez-Camacho, Inés; Gutiérrez-Gutiérrez, Belén; Martínez-Marcos, Francisco Javier; Fernández-Roldán, Concepción; León, Eva; Caño, Alexandra Aceituno; Corzo, Juan E.; de la Fuente, Carmen; Jurado, Aurora; Torre-Cisneros, Julián; Merchante, Nicolás","-","initial deposit","-"
"medRxiv","10.1101/2022.10.08.22280836","1","10/10/2022","GRAd-COV2 vaccine provides potent and durable immunity in a randomised placebo-controlled phase 2 trial (COVITAR)","Capone, S.; Fusco, F. M.; Milleri, S.; Borre', S.; Carbonara, S.; Lo Caputo, S.; Leone, S.; Gori, G.; Maggi, P.; Cascio, A.; Lichtner, M.; Cauda, R.; Dal Zoppo, S.; Cossu, M. V.; Gori, A.; Roda, S.; Confalonieri, P.; Bonora, S.; Missale, G.; Codeluppi, M.; Mezzaroma, I.; Capici, S.; Pontali, E.; Libanore, M.; Diani, A.; Lanini, S.; Battella, S.; Contino, A. M.; Piano Mortari, E.; Genova, F.; Parente, G.; Dragonetti, R.; Colloca, S.; Visani, L.; Iannacone, C.; Carsetti, R.; Folgori, A.; Camerini, R.; the COVITAR study group,  ","-","publishaheadofprint","-"
"medRxiv","10.1101/2022.10.04.22280574","1","05/10/2022","A randomized, placebo-controlled trial of a nasal spray solution containing broadly potent neutralizing antibodies against SARS-CoV-2 variants in healthy volunteers","Imsuwansri, T.; Jongthitinon, T.; Pojdoung, N.; Meesiripan, N.; Sakarin, S.; Boonkrai, C.; Wongtangprasert, T.; Phakham, T.; Audomsun, T.; Attakitbancha, C.; Saelao, P.; Muanwien, P.; Tian, M. T.; Tongchusak, S.; Sangruji, B.; Wannigama, D. L.; Sawangmake, C.; Rodprasert, W.; Le, Q. D.; Purbantoro, S. D.; Vasuntrarak, K.; Nantavisai, S.; Sirilak, S.; Uppapong, B.; Sapsutthipas, S.; Trisiriwanich, S.; Somporn, T.; Usoo, A.; Mingngamsup, N.; Phumiamorn, S.; Aumklad, P.; Arunprasert, K.; Patrojanasophon, P.; Opanasopit, P.; Pesirikan, N.; Nitisaporn, L.; Pitchayakorn, J.; Narkthong, T.; Mahong, B","-","publishaheadofprint","-"
"medRxiv","10.1101/2022.10.02.22280572","1","03/10/2022","Immune responses of the third dose of AZD1222 vaccine or BNT162b2 mRNA vaccine after two doses of CoronaVac vaccines against Delta and Omicron variants","Niyomnaitham, S.; Jongkaewwattana, A.; Meesing, A.; Chusri, S.; Nanthapisal, S.; Hirankarn, N.; Siwamogsatham, S.; Kirdlarp, S.; Chaiwarith, R.; Lawpoolsri Niyom, S.; Thitithanyanont, A.; Hansasuta, P.; Pornprasit, K.; Chaiyaroj, S.; Pitisuttithum, P.","-","publishaheadofprint","-"
"medRxiv","10.1101/2022.09.22.22280247","1","26/09/2022","Abatacept for Treatment of Adults Hospitalized with Moderate or Severe Covid-19","Ko, E. R.; Anstrom, K. J.; Panettieri, R. A.; Lachiewicz, A. M.; Maillo, M.; O'Halloran, J.; Boucher, C.; Smith, P. B.; McCarthy, M. W.; Segura Nunez, P.; Mendivil Tuchia de Tai, S.; Khan, A.; Mena Lora, A. J.; Salathe, M.; Kedar, E.; Capo, G.; Rodriguez Gonzalez, D.; Patterson, T. F.; Palma, C.; Ariza, H.; Patelli Lima, M.; Blamoun, J.; Nannini, E.; Sprinz, E.; Mykietiuk, A.; Wang, J. P.; Parra-Rodriguez, L.; Der, T.; Willsey, K.; Benjamin, D. K.; Wen, J.; Zakroysky, P.; Halabi, S.; Silverstein, A.; McNulty, S. E.; O'Brien, S. M.; Al-Khalidi, H. R.; Butler, S.; Atkinson, J.; Adam, S. J.; Chan","-","publishaheadofprint","-"
"medRxiv","10.1101/2022.09.21.22280195","1","23/09/2022","Efficacy and safety of convalescent plasma versus standard care in hospitalized patients with COVID-19 from the Peruvian Social Security Health System: open-label, randomized, controlled clinical trial","Villanueva, C.; Neyra, I.; Sagastegui, A.; Chunga, A.; Oyanguren, M.; Guillermo-Roman, M.; Soto-Ordonez, S.; Maguina, J. L.; Hurtado-Roca, Y.; Soto-Becerra, P.; Araujo-Castillo, R. V.","-","publishaheadofprint","-"
"medRxiv","10.1101/2022.09.22.22280245","2","23/09/2022","Infliximab for Treatment of Adults Hospitalized with Moderate or Severe Covid-19","O'Halloran, J.; Kedar, E.; Anstrom, K. J.; McCarthy, M. W.; Ko, E. R.; Segura Nunez, P.; Boucher, C.; Smith, P. B.; Panettieri, R. A.; Mendivil Tuchia de Tai, S.; Maillo, M.; Khan, A.; Mena Lora, A. J.; Salathe, M.; Capo, G.; Rodriguez Gonzalez, D.; Patterson, T. F.; Palma, C.; Ariza, H.; Patelli Lima, M.; Lachiewicz, A. M.; Blamoun, J.; Nannini, E.; Sprinz, E.; Mykietiuk, A.; Alicic, R.; Rauseo, A. M.; Wolfe, C. R.; Wittig, B.; Benjamin, D. K.; McNulty, S. E.; Zakroysky, P.; Halabi, S.; Butler, S.; Atkinson, J.; Adam, S. J.; Melsheimer, R.; Chang, S.; LaVange, L.; Proschan, M.; Bozzette, S. A","-","publishaheadofprint","-"
"medRxiv","10.1101/2022.09.20.22279903","1","21/09/2022","Safety, Immunogenicity and Efficacy of NVX-CoV2373 in Adolescents in PREVENT-19: A Randomized, Phase 3 Trial","Anez, G.; Dunkle, L. M.; Gay, C. L.; Kotloff, K. L.; Adelglass, J. M.; Essink, B.; Campbell, J. D.; Cloney-Clark, S.; Zhu, M.; Plested, J. S.; Roychoudhury, P.; Greninger, A. L.; Patel, N.; McGarry, A.; Woo, W.; Cho, I.; Glenn, G. M.; Dubovsky, F.","-","publishaheadofprint","-"
"medRxiv","10.1101/2022.09.15.22279897","1","15/09/2022","Angiotensin 1-7 in severe COVID-19 patients: a phase 1 clinical trial","Valle Martins, A. L.; Annoni, F.; da Silva, F. A.; Bolais-Ramos, L.; Capanema de Oliveira, G.; dos Santos Matos, A. H.; Jardim Heyden, M. C.; Dias Pinheiro, B.; Abdo Rodrigues, N.; Alves Pereira, D. A.; Lana Diniz, M. M.; Granato Fonseca Silva, T.; Carvalho Cardoso, A.; Carvalho Martins, J.; Motta-Santos, D.; Campagnole-Santos, M. J.; Verano-Braga, T.; Taccone, F. S.; Santos, R. A. S.","-","publishaheadofprint","-"
"Research Square","10.21203/rs.3.rs-2061549/v1","1","13/09/2022","Nasal anti-CD3 mAb (Foralumab) dampens CD3+ T effector function and decreases NKG7 in COVID-19 through a mechanism involving GIMAP-7 and TGFb1","Moreira, Thais; Gauthier, Christian; Murphy, Liam; Lanser, Toby; Paul, Anu; Matos, Kimble; Mangani, Davide; Izzy, Saef; Rezende, Rafael; Healy, Brian; Baecher-Allan, Clare; Chitnis, Tanuja; Kuchroo, Vijay; Weiner, Howard","-","initial deposit","-"
"SSRN Electronic Journal","10.2139/ssrn.4216601","1","13/09/2022","Transcranial Direct Current Stimulation (tDCS) for Post-COVID Fatigue: A Randomized, Double-Blind, Controlled Pilot Study","Oliver-Mas, Silvia; Delgado-Alonso, Cristina; Delgado-Álvarez, Alfonso; Díez-Cirarda, María; Cuevas, Constanza; Fernández-Romero, Lucía; Matias-Guiu, Andreu; Valles-Salgado, Maria; Gil, María José; Matias-Guiu, Jorge; Matias-Guiu, Jordi A. A.","-","initial deposit","-"
"SSRN Electronic Journal","10.2139/ssrn.4214528","1","13/09/2022","A Phase I, Prospective, Randomized, Open-Labeled Study to Evaluate the Safety, Tolerability, and Immunogenicity of Booster Dose with MVC-COV1901 or MVC-COV1901(Beta) SARS-CoV-2 Vaccine in Adults","Lien, Chia En; Liu, Ming-Che; Wang, Ning-Chi; Liu, Luke Tzu Chi; Wu, Chung-Chin; Tang, Wei-Hsuan; Lian, Wei-Cheng; Huang, Kuan-Ying A.; Chen, Charles","-","initial deposit","-"
"SSRN Electronic Journal","10.2139/ssrn.4213351","1","13/09/2022","A Phase 3, Randomised, Double-Blind, Placebo-Controlled Clinical Trial for Adult Evaluation of the Efficacy and Safety of a Sars-Cov-2 Recombinant Spike Rbd Protein Vaccine (Abdala-3 Study)","Hernández-Bernal, Francisco; Ricardo-Cobas, Maria del Carmen; Martín-Bauta, Yenima; Rodríguez-Martínez, Ernesto; Urrutia-Pérez, Klaudia; Urrutia-Pérez, Karen; Quintana-Guerra, Joel; Navarro-Rodríguez, Zadis; Piñera-Martínez, Marjoris; Rodríguez-Reinoso, José Luis; Chávez-Chong, Cristina Olimpia; Baladrón-Castrillo, Idania; Melo-Suárez, Grettel; Batista-Izquierdo, Alejandro; Pupo-Micó, Alexis R.; Mora-Betancourt, Ricardo L.; Soler-Cano, Dayamí; Bizet-Almeida, Jacqueline; Martínez-Rodríguez, Maria C.; Lobaina-Lambert, Leonardo; Velázquez-Pérez, Vivian M.; Soler-Díaz, Jalimy; Blanco-Garrido, Yunaili; Laurencio-Vallina, Sandra; Meriño-Hechavarría, Tamara; Carmenaty-Campos, Norberto; Rodríguez-Montero, Enri; Limonta-Fernández, Miladys; Valdés, Marel A.; Hernández-Rodríguez, Reinier; Pimentel-Vázquez, Eulogio; Catasús-Álvarez, Karem M.; Cabrera-Núñez, Maria V.; Ayala-Ávila, Marta; Muzio-González, Verena L.; Investigators, ABDALA Group of","-","initial deposit","-"
"medRxiv","10.1101/2022.09.05.22279589","1","06/09/2022","Safety and immunogenicity of a broad-spectrum mosaic vaccine as a booster dose against SARS-CoV-2 Omicron and other circulating variants","Kaabi, N. A.; Yang, Y. K.; Liang, Y.; Xu, K.; Zhang, X. F.; Kang, Y.; Jin, Y. Q.; Hou, J. W.; Zhang, J.; Yang, T.; Hussein, S.; ElDein, M. S.; Lei, Z. H.; Zhang, H.; Shao, S.; Liu, Z. M.; Liu, N.; Zheng, X.; Su, J. G.; Yang, S. S.; Cong, X. F.; Tan, Y.; Lei, W. W.; Gao, X. J.; Jiang, Z. W.; Wang, H.; Li, M.; Mekki, H. M.; Zaher, W.; Mahmoud, S.; Zhang, X.; Qu, C.; Liu, D. Y.; Zhang, J.; Yang, M. J.; Eltantawy, I.; Xiao, P.; Shen, F. J.; Wu, J. J.; Han, Z. B.; Du, L. F.; Tang, F.; Chen, S.; Ma, Z. J.; Zheng, F.; Hou, Y. N.; Li, X. Y.; Li, X.; Wang, Z. N.; Yin, J. L.; Mao, X. Y.; Zhang, J.; Qu, ","-","publishaheadofprint","-"
"SSRN Electronic Journal","10.2139/ssrn.4201398","1","31/08/2022","A Randomized, Double-Blind, Placebo-Controlled Phase I Trial of Inhalation Treatment of Recombinant TFF2/IFN Protein: A Multifunctional Candidate for Treatment of COVID-19","Liu, Yan; Zhai, Guanxing; Fu, Weihui; Zhang, Xiaoyan; Xu, Jianqing","-","initial deposit","-"
"medRxiv","10.1101/2022.08.29.22279317","2","30/08/2022","A Phase I, Prospective, Randomized, Open-labeled Study to Evaluate the Safety, Tolerability, and Immunogenicity of Booster Dose with MVC-COV1901 or MVC-COV1901(Beta) SARS-CoV-2 Vaccine in Adults","Lien, C. E.; Liu, M.-C.; Wang, N.-C.; Liu, L. T. -C.; Wu, C.-C.; Tang, W.-H.; Lian, W.-C.; Huang, K.-Y. A.; Chen, C.","-","publishaheadofprint","-"
"medRxiv","10.1101/2022.08.25.22279158","2","26/08/2022","Homologous and heterologous boosting with CoronaVac and BNT162b2: a randomized trial (the Cobovax study)","Leung, N. H. L.; Cheng, S. M. S.; Cohen, C. A.; Martin-Sanchez, M.; Au, N. Y. M.; Luk, L. L. H.; Tsang, L. C. H.; Kwan, K. K. H.; Chaothai, S.; Fung, L. W. C.; Cheung, A. W. L.; Chan, K. C. K.; Li, J. K. C.; Ng, Y. Y.; Kaewpreedee, P.; Jia, J. Z.; Ip, D. K. M.; Poon, L. L. M.; Leung, G. M.; Peiris, M.; Valkenburg, S. A.; Cowling, B. J.","-","publishaheadofprint","-"
"SSRN Electronic Journal","10.2139/ssrn.4191606","1","26/08/2022","Titers and Capacity of Neutralizing Antibodies Against SARS-CoV-2 Variants after Heterologous Booster Vaccination in Health Care Workers Primed with Two Doses of ChadOx1 nCov-19: A&amp;nbsp;Single-Blinded, Randomized Clinical Trial","Chuang, Jack; Huang, Chung-Guei; Huang, Ching-Tai; Chen, Yi-Ching; Kung, Yu-An; Chen, Chih-Jung; Chuang, Tzu-Chun; Liu, Ching-Chi; Huang, Po-Wei; Yang, Shu-Li; Gu, Po-Wen; Shih, Shin-Ru; Chiu, Cheng-Hsun","-","initial deposit","-"
"medRxiv","10.1101/2022.08.21.22279036","1","23/08/2022","RNA polymerase inhibitor enisamium for treatment of moderate COVID-19 patients: a randomized, placebo-controlled, multicenter, double-blind phase 3 clinical trial","Holubovska, O.; Babich, P.; Mironenko, A.; Milde, J.; Lebed, Y.; Stammer, H.; Mueller, L.; te Velthuis, A. J. W.; margitich, V.; Goy, A.","-","publishaheadofprint","-"
"medRxiv","10.1101/2022.08.17.22278748","2","21/08/2022","A randomized, double-blind, Phase 1 study of IN-006, an inhaled antibody treatment for COVID-19","Moench, T. R.; Botta, L.; Farrer, B.; Lickliter, J. D.; Kang, H.; Park, Y.; Kim, C.; Hoke, M.; Brennan, M.; McSweeney, M. D.; Richardson, Z.; Whelan, J. B.; Cho, J. M.; Lee, S. Y.; Faurot, F.; Hutchins, J.; Lai, S. K.","-","publishaheadofprint","-"
"medRxiv","10.1101/2022.08.18.22278867","1","21/08/2022","LENZILUMAB OUTCOMES ACCORDING TO RACE OF COVID-19 PARTICIPANTS IN THE LIVE-AIR PHASE 3 TRIAL","Marconi, V.; Kilcoyne, A.; Cerasoli, F.; Polk, C.; Lewis, M.; Burger, C.; Jordan, E.; Durrant, C.; Chappell, D.; Temesgen, Z.","-","publishaheadofprint","-"
